# Japanese JLPT sample wordlist (auto-generated)
私	N5
わたし	N5
貴方	N5
あなた	N5
彼	N5
かれ	N5
彼女	N5
かのじょ	N5
人	N5
ひと	N5
女	N5
おんな	N5
男	N5
おとこ	N5
子供	N4
こども	N4
友達	N4
ともだち	N4
家族	N4
かぞく	N4
父	N4
ちち	N4
母	N4
はは	N4
兄	N4
あに	N4
姉	N4
あね	N4
弟	N4
おとうと	N4
妹	N4
いもうと	N4
先生	N5
せんせい	N5
学生	N5
がくせい	N5
会社	N5
かいしゃ	N5
会社員	N4
かいしゃいん	N4
医者	N5
いしゃ	N5
料理	N4
りょうり	N4
食事	N4
しょくじ	N4
朝ご飯	N5
あさごはん	N5
昼ご飯	N5
ひるごはん	N5
晩ご飯	N5
ばんごはん	N5
水	N5
みず	N5
お茶	N5
おちゃ	N5
酒	N4
さけ	N4
肉	N4
にく	N4
魚	N4
さかな	N4
野菜	N4
やさい	N4
果物	N4
くだもの	N4
卵	N4
たまご	N4
牛乳	N5
ぎゅうにゅう	N5
店	N5
みせ	N5
食堂	N4
しょくどう	N4
駅	N5
えき	N5
電車	N5
でんしゃ	N5
地下鉄	N4
ちかてつ	N4
バス	N5
バス	N5
車	N5
くるま	N5
自転車	N5
じてんしゃ	N5
飛行機	N4
ひこうき	N4
船	N4
ふね	N4
道路	N4
どうろ	N4
町	N5
まち	N5
田舎	N4
いなか	N4
国	N5
くに	N5
外国	N4
がいこく	N4
世界	N4
せかい	N4
日本語	N5
にほんご	N5
英語	N5
えいご	N5
言葉	N4
ことば	N4
字	N4
じ	N4
本	N5
ほん	N5
雑誌	N4
ざっし	N4
新聞	N4
しんぶん	N4
手紙	N4
てがみ	N4
映画	N5
えいが	N5
音楽	N5
おんがく	N5
歌	N4
うた	N4
絵	N4
え	N4
写真	N5
しゃしん	N5
部屋	N5
へや	N5
家	N5
いえ	N5
台所	N4
だいどころ	N4
風呂	N4
ふろ	N4
トイレ	N5
トイレ	N5
机	N5
つくえ	N5
椅子	N5
いす	N5
ベッド	N5
ベッド	N5
窓	N5
まど	N5
ドア	N5
ドア	N5
鍵	N4
かぎ	N4
時計	N5
とけい	N5
時間	N5
じかん	N5
今日	N5
きょう	N5
